Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59716231,Tender Is the Night,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Charles Scribner,"=""068480154X""","=""9780684801544""",0,3.79,Scribner,Paperback,,2003,1934,,2023/06/15,,,read,,,,1,0
49563,The Trial,Franz Kafka,"Kafka, Franz","Edwin Muir, Willa Muir, Elizabeth M. Butler, George Steiner","=""0805210407""","=""9780805210408""",0,3.96,Schocken Books,Paperback,281,1995,1925,,2023/06/15,,,read,,,,1,0
592951,Waiting for Godot,Samuel Beckett,"Beckett, Samuel",,"=""0571229115""","=""9780571229116""",0,3.84,Faber and Faber,Paperback,87,2006,1952,,2023/06/15,,,read,,,,1,0
62970358,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,"Albom, Mitch",,"=""076790592X""","=""9780767905923""",0,4.16,Broadway Books,Paperback,192,2022,1997,,2023/06/15,,,read,,,,1,0
59484009,A Separate Peace,John Knowles,"Knowles, John",David Levithan,"=""0743253973""","=""9780743253970""",0,3.59,Scribner,Paperback,206,2021,1959,,2023/06/15,,,read,,,,1,0
765418,Leaves of Grass: The First (1855) Edition,Walt Whitman,"Whitman, Walt",Malcolm Cowley,"=""0140421998""","=""9780140421996""",0,4.12,Penguin Classics,Paperback,145,1961,1855,,2023/06/15,,,read,,,,1,0
46126707,Ulysses,James Joyce,"Joyce, James","Morris L. Ernst, John M. Woolsey","=""0679722769""","=""9780679722762""",0,3.75,Vintage,Paperback,783,,1922,,2023/06/15,,,read,,,,1,0
60130132,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,"=""1401308589""","=""9781401308582""",0,3.98,Hyperion,Paperback,196,2003,2003,,2023/06/15,,,read,,,,1,0
56497741,The Fountainhead,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""0451191153""","=""9780451191151""",0,3.88,Signet Book,Mass Market Paperback,704,2020,1943,,2023/06/15,,,read,,,,1,0
40526,"Time and Again (Time, #1)",Jack Finney,"Finney, Jack",,"=""0575073608""","=""9780575073609""",0,3.95,Orion Publishing Group,Paperback,400,2012,1970,,2023/06/14,"to-read, gilmore-girls","to-read (#334), gilmore-girls (#335)",to-read,,,,0,0
16282857,My Struggle: Book 1,Karl Ove Knausgård,"Knausgård, Karl Ove","Don Bartlett, Edoardo Ballerini","=""""","=""""",0,4.09,Recorded Books ,Audiobook,,2014,2009,,2023/06/14,"to-read, gilmore-girls","to-read (#335), gilmore-girls (#336)",to-read,,,,0,0
534255,Autobiography of a Face,Lucy Grealy,"Grealy, Lucy",Ann Patchett,"=""0060569662""","=""9780060569662""",0,3.97,Harper Perennial,Paperback,236,2003,1994,,2023/06/14,"to-read, gilmore-girls","to-read (#336), gilmore-girls (#337)",to-read,,,,0,0
22165,American Steel,Richard   Preston,"Preston, Richard",,"=""0380718227""","=""9780380718221""",0,4.12,Avon Books,Paperback,278,1992,1991,,2023/06/14,"to-read, gilmore-girls","to-read (#333), gilmore-girls (#334)",to-read,,,,0,0
469571,"All the Pretty Horses (The Border Trilogy, #1)",Cormac McCarthy,"McCarthy, Cormac",,"=""0679744398""","=""9780679744399""",0,4.02,Vintage,Paperback,302,1993,1992,,2023/06/14,"to-read, gilmore-girls","to-read (#331), gilmore-girls (#332)",to-read,,,,0,0
32736,Tevye the Dairyman and the Railroad Stories,Sholom Aleichem,"Aleichem, Sholom",Hillel Halkin,"=""0805210695""","=""9780805210699""",0,4.17,Schocken,Paperback,309,2004,1894,,2023/06/14,"to-read, gilmore-girls","to-read (#332), gilmore-girls (#333)",to-read,,,,0,0
24583,The Adventures of Tom Sawyer,Mark Twain,"Twain, Mark","Guy Cardwell, John Seelye, Amanda Lee, Mark Hallaq","=""""","=""9780143039563""",0,3.92,Penguin Classics,Paperback,244,2006,1876,,2023/06/14,"to-read, gilmore-girls","to-read (#326), gilmore-girls (#327)",to-read,,,,0,0
376579,The Andy Warhol Diaries,Andy Warhol,"Warhol, Andy",Pat Hackett,"=""0446391387""","=""9780446391382""",0,3.92,Grand Central Publishing,Paperback,807,1991,1989,,2023/06/14,"to-read, gilmore-girls","to-read (#327), gilmore-girls (#328)",to-read,,,,0,0
990494,"Swimming With Giants: My Encounters With Whales, Dolphins, and Seals",Anne Collet,"Collet, Anne",,"=""1571312447""","=""9781571312440""",0,3.90,Milkweed Editions,Hardcover,228,2000,2000,,2023/06/14,"to-read, gilmore-girls","to-read (#328), gilmore-girls (#329)",to-read,,,,0,0
22318578,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,"Kondō, Marie",,"=""1607747308""","=""9781607747307""",0,3.87,Ten Speed Press,Hardcover,213,2014,2010,,2023/06/14,"to-read, gilmore-girls","to-read (#329), gilmore-girls (#330)",to-read,,,,0,0
74462,Unless,Carol Shields,"Shields, Carol",,"=""""","=""""",0,3.63,Fourth Estate,Paperback,320,2003,2002,,2023/06/14,"to-read, gilmore-girls","to-read (#330), gilmore-girls (#331)",to-read,,,,0,0
19202652,"El príncipe de la niebla (Niebla, #1)",Carlos Ruiz Zafón,"Zafón, Carlos Ruiz",,"=""""","=""""",0,3.78,Editorial Planeta,Kindle Edition,244,2010,1993,,2023/06/14,"to-read, gilmore-girls","to-read (#325), gilmore-girls (#326)",to-read,,,,0,0
1487493,"Absolute Rage (Butch Karp, #14)",Robert K. Tanenbaum,"Tanenbaum, Robert K.",,"=""0743403452""","=""9780743403450""",0,3.99,Pocket Books,Mass Market Paperback,480,2003,2002,,2023/06/14,"to-read, gilmore-girls","to-read (#321), gilmore-girls (#322)",to-read,,,,0,0
27362503,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"Hoover, Colleen",,"=""""","=""""",0,4.25,Atria Books,Kindle Edition,386,2016,2016,,2023/06/14,"to-read, gilmore-girls","to-read (#322), gilmore-girls (#323)",to-read,,,,0,0
22483,Social Origins of Dictatorship and Democracy: Lord and Peasant in the Making of the Modern World,Barrington Moore Jr.,"Jr., Barrington Moore",,"=""0807050733""","=""9780807050736""",0,4.00,Beacon Press,Paperback,592,1993,1966,,2023/06/14,"to-read, gilmore-girls","to-read (#323), gilmore-girls (#324)",to-read,,,,0,0
53835,The Age of Innocence,Edith Wharton,"Wharton, Edith",Maureen Howard,"=""159308143X""","=""9781593081430""",0,3.96,Barnes & Noble Classics,Paperback,293,2004,1920,,2023/06/14,"to-read, gilmore-girls","to-read (#324), gilmore-girls (#325)",to-read,,,,0,0
25111004,November 9,Colleen Hoover,"Hoover, Colleen",,"=""1501110349""","=""9781501110344""",0,4.20,Atria Books,Paperback,310,2015,2015,,2023/06/14,"to-read, gilmore-girls","to-read (#319), gilmore-girls (#320)",to-read,,,,0,0
7410,A Monetary History of the United States 1867-1960,Milton Friedman,"Friedman, Milton",Anna Jacobson Schwartz,"=""0691003548""","=""9780691003542""",0,4.01,Princeton University Press,Paperback,888,1971,1963,,2023/06/14,"to-read, gilmore-girls","to-read (#320), gilmore-girls (#321)",to-read,,,,0,0
31180330,Split Rock,Holly Hodder Eger,"Eger, Holly Hodder",,"=""""","=""""",0,3.97,Conzett Verlag,Paperback,368,2016,2016,,2023/06/14,"to-read, gilmore-girls","to-read (#316), gilmore-girls (#317)",to-read,,,,0,0
31350872,"The Prophecy: The girl will be born of two foes, created to conquer and devastate the lands. They will all fall.",Angela  Watson,"Watson, Angela",,"=""""","=""""",0,4.40,,Kindle Edition,578,2016,,,2023/06/14,"to-read, gilmore-girls","to-read (#317), gilmore-girls (#318)",to-read,,,,0,0
2667881,Written in Blood,Robert Debs Heinl,"Heinl, Robert Debs","Nancy Gordon Heinl, Michael Heinl","=""0761802290""","=""9780761802297""",0,4.09,University Press of America,Hardcover,902,1997,1978,,2023/06/14,"to-read, gilmore-girls","to-read (#318), gilmore-girls (#319)",to-read,,,,0,0
1108863,My Life in Orange,Tim Guest,"Guest, Tim",,"=""1862077207""","=""9781862077201""",0,3.50,Granta Books,Paperback,320,2005,2004,,2023/06/14,"to-read, gilmore-girls","to-read (#312), gilmore-girls (#313)",to-read,,,,0,0
